t,x_m,theta,v_m_s,thetadot,u_force,u_pwm
1765979615.176591,0.12390625000000001,0.19,-0.309375,-0.025,-6.846404552459717,-124
1765979615.2746027,0.03453125,0.04,-1.124453125,-2.107,-1.3838542699813843,-141
1765979615.376181,-0.0919140625,-0.21,-1.3080078125,-2.758,7.340123653411865,-58
1765979615.4746027,-0.1624609375,-0.35,-0.4601953125,-0.937,9.57868480682373,50
1765979615.5731914,-0.1440625,-0.32,0.3664453125,0.34,9.328606605529785,150
1765979615.675604,-0.03109375,-0.11,1.3962109375,2.694,5.115921497344971,150
1765979615.774608,0.10960937500000001,0.17,1.406953125,2.911,-4.194607257843018,104
1765979615.8755977,0.2152734375,0.38,0.9209375,2.042,-11.993128776550293,-33
1765979615.9751885,0.2183203125,0.4,-0.196796875,0.057,-10.762459754943848,-150
1765979616.077189,0.11226562500000001,0.22,-1.39265625,-2.435,-8.664173126220703,-150
1765979616.1756086,-0.0289453125,0.0,-1.4101171875,-2.071,-6.843878746032715,-150
1765979616.2735984,-0.169765625,-0.2,-1.4130078125,-2.185,-2.9879002571105957,-150
1765979616.3766017,-0.3110546875,-0.48,-1.405,-3.214,17.202083587646484,46
1765979616.475183,-0.324140625,-0.54,0.314375,0.034,13.5431547164917,150
1765979616.5766191,-0.2128515625,-0.42,1.3930859375,1.374,17.91205596923828,150
1765979616.6761825,-0.07171875,-0.34,1.4117578125,0.336,17.861997604370117,150
1765979616.7771833,0.0692578125,-0.37,1.4095703125,-0.757,11.907388687133789,150
1765979616.8792417,0.20984375,-0.5,1.4041796875,-1.972,7.104823112487793,150
1765979616.977187,0.343125,-0.75,1.40265625,-3.414,-3.6178808212280273,110
1765979617.0781882,0.4453515625,-1.28,0.39,-7.174,-10.382354736328125,-67
1765979617.178979,0.4469140625,-2.26,0.0,-10.619,-10.97270393371582,-127
1765979617.274198,0.4469140625,2.95,0.0,-11.394,-7.974935054779053,-92
1765979617.3761883,0.4469140625,1.85,0.0,-9.296,-6.4043378829956055,-74
1765979617.47419,0.4469140625,1.11,0.0,-6.194,-18.728439331054688,-150
1765979617.5779636,0.4469140625,0.66,0.0,-3.813,-14.22235107421875,-150
1765979617.6766138,0.4469140625,0.37,0.0,-2.004,-6.353358268737793,-73
1765979617.7792034,0.4469140625,0.23,0.0,-1.132,-6.315151691436768,-73
1765979617.8762062,0.4469140625,0.17,0.0,-0.373,-6.30432653427124,-73
1765979617.9746153,0.4469140625,0.16,0.0,0.12,-6.305147647857666,-73
1765979618.0771983,0.4469140625,0.21,0.0,0.689,-6.325953960418701,-73
1765979618.1749623,0.4469140625,0.32,0.0,1.418,-10.036155700683594,-116
1765979618.277199,0.4469140625,0.52,0.0,2.446,-20.0,-150
1765979618.377198,0.4469140625,0.88,0.0,4.35,-20.0,-150
1765979618.474623,0.4469140625,1.47,0.0,7.12,-20.0,-150
1765979618.5782013,0.4469140625,2.33,0.0,9.728,-12.899399757385254,-149
1765979618.6772072,0.4467578125,2.48,0.0,1.052,-20.0,-150
1765979618.7792091,0.4467578125,2.6,0.0,0.882,-19.99691390991211,-150
1765979618.8782077,0.4467578125,2.67,0.0,0.703,-6.319986820220947,-73
1765979618.976047,0.4467578125,2.72,0.0,0.607,-9.395885467529297,-108
1765979619.0776386,0.4467578125,2.77,0.0,0.457,-6.277242183685303,-72
1765979619.1766307,0.4467578125,2.82,0.0,0.409,-9.237187385559082,-107
1765979619.2786272,0.4467578125,2.85,0.0,0.219,-7.630070686340332,-88
1765979619.3779626,0.4467578125,2.85,0.0,0.044,-8.0741605758667,-93
