t,x_m,theta,v_m_s,thetadot,u_pwm
1764425655.96147,0.058359375,0.02,0.1373046875,-0.0,50
1764425655.9714708,0.060703125000000004,0.03,0.2159765625,0.383,46
1764425655.9824708,0.06359375,0.03,0.27468750000000003,0.479,55
1764425655.9918892,0.06671875000000001,0.04,0.303046875,0.58,54
1764425656.0024703,0.0700390625,0.04,0.327734375,0.759,51
1764425656.012472,0.07355468750000001,0.05,0.3455859375,0.65,59
1764425656.0224702,0.0771875,0.06,0.357890625,0.853,48
1764425656.0324697,0.0809765625,0.07,0.3765625,0.827,52
1764425656.0424697,0.08484375,0.08,0.38320312500000003,0.897,47
1764425656.0524688,0.088671875,0.09,0.3829296875,0.915,44
1764425656.0624695,0.09238281250000001,0.09,0.3711328125,0.766,50
1764425656.0724685,0.094140625,0.1,0.361328125,0.843,41
1764425656.081892,0.0993359375,0.11,0.3459375,0.911,32
1764425656.0918896,0.1026953125,0.12,0.336484375,0.918,28
1764425656.1014712,0.1055859375,0.13,0.29703125,0.843,20
1764425656.1108909,0.10800781250000001,0.13,0.2519921875,0.671,20
1764425656.1208925,0.1089453125,0.14,0.2197265625,0.642,12
1764425656.1304722,0.11093750000000001,0.14,0.13390625,0.387,6
1764425656.140891,0.1113671875,0.15,0.109921875,0.347,0
1764425656.1504717,0.111796875,0.15,0.030351562500000002,0.043,-2
1764425656.15989,0.1117578125,0.15,0.01125,0.022,-5
1764425656.1698883,0.1117578125,0.14,0.00140625,-0.074,1
1764425656.1819148,0.11171875,0.14,-0.0016015625000000001,-0.095,-30
1764425656.1914704,0.1117578125,0.14,0.0015625,-0.254,8
1764425656.200894,0.1112109375,0.14,-0.046484375,-0.294,-30
1764425656.2108939,0.1108984375,0.13,-0.02921875,-0.15,-30
1764425656.2204726,0.11066406250000001,0.13,-0.038046875,-0.228,-28
1764425656.2314591,0.1088671875,0.12,-0.118046875,-0.565,-27
1764425656.2408955,0.107265625,0.12,-0.15058593750000002,-0.602,-32
1764425656.251889,0.1056640625,0.11,-0.156796875,-0.611,-30
1764425656.261455,0.103984375,0.1,-0.1661328125,-0.766,-22
1764425656.272456,0.102265625,0.1,-0.1684765625,-0.652,-28
1764425656.281884,0.10082031250000001,0.09,-0.14953125,-0.623,-23
1764425656.2914588,0.0993359375,0.09,-0.1506640625,-0.616,-24
1764425656.3008804,0.09859375000000001,0.08,-0.1495703125,-0.615,-21
