t,x,v
0,-0.0005,0
0.002,-0.0013,-0.1068
0.004,-0.0023,-0.1068
0.006,-0.0032,-0.1875
0.007,-0.0044,-0.1875
0.009,-0.0055,-0.1875
0.011,-0.0068,-0.2878
0.013,-0.008,-0.2878
0.015,-0.0093,-0.3945
0.017,-0.0106,-0.3945
0.019,-0.012,-0.3945
0.021,-0.0134,-0.5078
0.023,-0.0148,-0.5078
0.025,-0.0162,-0.5911
0.027,-0.0177,-0.5911
0.029,-0.0191,-0.5911
0.031,-0.0206,-0.6471
0.033,-0.0221,-0.6471
0.035,-0.0236,-0.6953
0.037,-0.0252,-0.6953
0.039,-0.0267,-0.6953
0.041,-0.0282,-0.724
0.043,-0.0298,-0.724
0.045,-0.0313,-0.7487
0.047,-0.0329,-0.7487
0.049,-0.0344,-0.7487
0.051,-0.0359,-0.7617
0.053,-0.0374,-0.7617
0.055,-0.039,-0.7617
0.056,-0.0405,-0.7695
0.058,-0.042,-0.7695
0.06,-0.0435,-0.776
0.062,-0.0451,-0.776
0.064,-0.0466,-0.776
0.066,-0.0481,-0.7747
0.068,-0.0496,-0.7747
0.07,-0.0512,-0.776
0.072,-0.0527,-0.776
0.074,-0.0543,-0.776
0.076,-0.0558,-0.776
0.078,-0.0574,-0.776
0.08,-0.0589,-0.7786
0.082,-0.0605,-0.7786
0.084,-0.0621,-0.7786
0.086,-0.0636,-0.7839
0.088,-0.0652,-0.7839
0.09,-0.0668,-0.7865
0.092,-0.0684,-0.7865
0.094,-0.07,-0.7865
0.096,-0.0715,-0.793
0.098,-0.0731,-0.793
0.1,-0.0746,-0.7943
0.102,-0.0762,-0.7943
0.104,-0.0777,-0.7943
0.106,-0.0793,-0.793
0.108,-0.0808,-0.793
0.11,-0.0823,-0.7917
0.112,-0.0839,-0.7917
0.114,-0.0854,-0.7917
0.116,-0.087,-0.7891
0.118,-0.0885,-0.7891
0.12,-0.0901,-0.7891
0.122,-0.0916,-0.7878
0.124,-0.0932,-0.7878
0.125,-0.0948,-0.7852
0.127,-0.0963,-0.7852
0.129,-0.0979,-0.7852
0.131,-0.0995,-0.7865
0.133,-0.101,-0.7865
0.135,-0.1026,-0.7904
0.137,-0.1042,-0.7904
0.139,-0.1058,-0.7904
0.141,-0.1074,-0.793
0.143,-0.109,-0.793
0.145,-0.1105,-0.7969
0.147,-0.1121,-0.7969
0.149,-0.1137,-0.7969
0.151,-0.1152,-0.7982
0.153,-0.1168,-0.7982
0.155,-0.1184,-0.7982
0.157,-0.1199,-0.7982
0.159,-0.1214,-0.7982
0.161,-0.123,-0.7956
0.163,-0.1245,-0.7956
0.165,-0.1261,-0.7917
0.167,-0.1276,-0.7917
0.169,-0.1292,-0.7917
0.171,-0.1307,-0.7904
0.173,-0.1323,-0.7904
0.175,-0.1338,-0.7878
0.177,-0.1354,-0.7878
0.179,-0.137,-0.7878
0.181,-0.1386,-0.7891
0.183,-0.1401,-0.7891
0.185,-0.1417,-0.7917
