episode/episode_number,1,2,3
1,19.6107862932498,24.1114383085418,8.32322836736497
2,7.15425308274151,0.645996881931889,3.99102608569822
3,0.0185419498251559,0.00104124221324758,16.1850712621166
4,6.9444654942421,0.00161424956486018,18.2613059411971
5,0.888083489119873,0.226026399816163,1.12653013000376
6,29.2150792846212,11.0341087508806,28.3469851962446
7,17.780687398632,14.8379059047627,3.29207286576847
8,0.962537067441963,4.44454781089591,28.7085713417808
9,15.0061988222034,3.29277171496279,7.52894896684868
10,11.5761543288363,5.45137255471664,13.0174928159739
11,48.2166574773704,22.7715981093042,36.32650738879
12,9.44181778598971,3.83950682767731,16.779180288122
13,16.3974629999539,4.16887746064372,14.6180197799214
14,22.1764894738666,3.39074609363304,33.5441510646282
15,83.3827632639771,12.819732967869,123.048856776781
16,6.57966632134642,16.3181486636646,13.0136320499277
17,6.67472889770562,4.9541936996467,7.23583540277136
18,5.70945278185942,7.66593578047067,7.78948847559771
19,211.291233022193,14.1858657877935,3.52289648653079
20,199.761992221831,32.3439330089627,3.8144532667096
21,126.864928990886,14.7940380652568,25.6874762056823
22,6.70588138314495,47.0957211287485,11.4771823961779
23,167.735244697012,16.9933066154032,186.994114876719
24,102.172248728685,11.5220482978112,13.2190737123614
25,242.513037705688,51.6045569686939,196.460134937876
26,277.430429937337,33.0613895967174,6.20311555217685
27,250.484699256266,60.5419831420405,269.981652103375
28,7.91300985073275,44.2083515965878,10.6441576688862
29,323.57943000816,66.9177331607453,261.812938540127
30,6.10840675600911,47.7932521188713,272.68579506336
31,470.857078574537,39.4121720556789,273.439894329981
32,472.152227373437,93.6435537080535,293.276201978129
33,475.35469531033,236.626767885192,279.547107757285
34,452.788857128316,22.0768368923149,385.088212961542
35,473.229877854272,217.211881343747,2.48787051992615
36,470.313587600304,463.962332693808,4.11562281991858
37,492.72955977301,408.445822604971,260.595841987173
38,474.751480190397,478.631845176493,261.324351201834
39,489.267962228448,7.06957997393295,321.815971148316
40,474.563841435099,37.2375788285073,333.52357515933
41,471.441934749785,244.098963661341,283.744405571532
42,474.73417544148,3.96606523590094,0.00204235269717571
43,436.703847618829,486.05044200457,347.50182608987
44,323.230168559491,437.400744696045,315.636278246435
45,458.508922094815,464.713570347418,17.2221669027947
46,478.394576190258,477.922442098777,321.97993314967
47,424.529718161519,428.969682235852,5.4994010619628
48,11.4137946328022,365.219926343694,307.20579148143
49,479.549762671643,430.060671066308,302.001030900838
50,3.50650876481541,453.491612206156,346.037003955294
51,476.2265670805,460.49275203052,360.982472435228
52,414.212478678657,434.144570800824,371.528828063778
53,424.993483298307,488.639464248588,342.863712750414
54,482.650236009502,440.184502676099,379.684183611993
55,489.511936078249,410.970733002011,387.354479581723
56,457.717224507589,472.313477136268,431.148104044754
57,447.120925675103,477.678238517661,245.197361025067
58,454.825312789614,2.41320075502747,2.42394512745096
59,437.235462777698,5.36887387925551,357.105960110638
60,473.291669927249,434.002636640906,337.123677441003
61,474.171945577199,411.218849890087,379.026418124477
62,470.942094217142,4.20134870356377,390.713007188512
63,465.295440353492,423.866177691239,404.508440432753
64,449.808197978546,471.540120278217,328.457737226287
65,408.090294585931,23.1238487494236,215.697567982503
66,482.271933542219,12.8944138162546,422.656280545297
67,4.29734234717105,343.344106779952,357.765563869516
68,478.5920707726,325.558177030556,386.471606707032
69,461.541706963215,491.902690548759,395.578675680907
70,414.825677629123,450.799337174827,386.65982769797
71,9.79994870037523,452.640451410227,225.076664152043
72,467.398451740422,392.455727736854,382.728738371527
73,484.698641228924,382.130847048056,424.059744952912
74,476.242118882369,467.089060647774,361.307737742666
75,476.662139313905,481.836728912409,394.93023786227
76,485.024074825267,495.041248173414,3.80010198983895
77,480.99389744996,495.537165910707,2.53916172456394
78,474.610253142832,432.931582684967,2.82458239371589
79,459.574605729808,491.035303225595,201.955527103438
80,477.615019658079,461.579197749411,386.829365290683
81,480.534278453798,490.464021352377,6.54682949760994
82,6.39289820342636,436.782818099494,2.94046195316575
83,487.837019494098,474.337370851949,419.442822214999
84,478.6228422871,12.9279072108909,435.041165465823
85,479.716879115997,464.698412129022,399.207013577801
86,430.765485501484,489.229996465839,2.87305544158866
87,483.391879879436,0.000955777842801044,2.81332032981392
88,478.22987453838,488.762285436175,380.855521648544
89,439.992318662799,479.432955260288,247.463187092621
90,487.529889841975,18.3440764855377,321.833248192017
91,451.979342007138,477.722335562292,217.766508327091
92,482.242295147997,426.518646839726,360.284619212211
93,456.424917254814,496.599918613515,425.021478690503
94,473.230167949148,467.524466123692,396.228756045637
95,485.050348215275,486.926498357904,373.948688034577
96,471.071541940235,456.634051431982,460.239737708823
97,485.321416079957,481.291316991292,385.036041334758
98,453.386274488376,454.311145996164,439.506031839113
99,474.915264631225,468.531623530944,441.877772746557
100,,502.900194593281,409.221206780848
101,0,,
102,3.75943668730042,,
103,478.211065530885,,
104,430.617160492378,,
