pwm,t_ms,x
21,0,0
21,1,0
21,3,0
21,5,1
21,7,3
21,9,4
21,11,6
21,13,8
21,15,11
21,17,14
21,19,16
21,21,19
21,23,22
21,25,25
21,27,28
21,29,31
21,31,34
21,33,38
21,35,41
21,37,45
21,39,48
21,41,52
21,43,56
21,45,59
21,47,63
21,49,67
21,51,71
21,53,75
21,55,79
21,57,84
21,59,88
21,61,92
21,63,97
21,65,101
21,67,105
21,69,109
21,71,113
21,73,117
21,75,120
21,77,123
21,79,126
21,81,130
21,83,133
21,85,136
21,87,140
21,89,143
21,91,147
21,93,151
21,95,154
21,97,158
21,99,162
21,101,166
21,103,171
21,105,175
21,107,179
21,109,182
21,111,186
21,113,189
21,115,193
21,117,196
21,119,198
21,121,201
21,123,204
21,125,206
21,127,208
21,129,211
21,131,213
21,133,215
21,135,217
21,137,219
21,139,221
21,141,223
21,143,225
21,145,227
21,147,230
21,149,232
21,151,234
21,153,237
21,155,239
21,157,242
21,159,244
21,161,247
21,163,250
21,165,253
21,167,256
21,169,258
21,171,261
21,173,264
21,175,266
21,177,269
21,179,271
21,181,273
21,183,275
21,185,276
21,187,278
21,189,280
21,191,281
21,193,282
21,195,284
21,197,285
21,199,286
21,201,287
21,203,288
21,205,290
21,207,291
21,209,293
21,211,294
21,213,295
21,215,297
21,217,298
21,219,300
21,221,301
21,223,303
21,225,304
21,227,306
21,229,308
21,231,310
21,233,312
21,235,314
21,237,316
21,239,318
21,241,320
21,243,322
21,245,324
21,247,326
21,249,329
21,251,331
21,253,334
21,255,337
21,257,339
21,259,342
21,261,345
21,263,348
21,265,350
21,267,353
21,269,355
21,271,358
21,273,360
21,275,362
21,277,364
21,279,366
21,281,368
21,283,370
21,285,372
21,287,373
21,289,375
21,291,376
21,293,377
21,295,379
21,297,380
21,299,381
21,301,383
21,303,384
21,305,385
21,307,387
21,309,388
21,311,389
21,313,391
21,315,392
21,317,394
21,319,396
21,321,398
21,323,400
21,325,402
21,327,404
21,329,406
21,331,408
21,333,411
21,335,414
21,337,417
21,339,420
21,341,423
21,343,426
21,345,428
21,347,431
21,349,434
21,351,437
21,353,439
21,355,442
21,357,444
21,359,447
21,361,449
21,363,451
21,365,453
21,367,454
21,369,456
21,371,458
21,373,460
21,375,462
21,377,464
21,379,465
21,381,467
21,383,469
21,385,471
21,387,473
21,389,475
21,391,477
21,393,479
21,395,481
21,397,484
21,399,486
21,401,488
21,403,490
21,405,492
21,407,494
21,409,497
21,411,499
21,413,502
21,415,505
21,417,507
21,419,510
21,421,513
21,423,516
21,425,518
21,427,521
21,429,523
21,431,526
21,433,528
21,435,530
21,437,532
21,439,534
21,441,535
21,443,537
21,445,539
21,447,540
21,449,541
21,451,543
21,453,544
21,455,545
21,457,547
21,459,549
21,461,550
21,463,552
21,465,554
21,467,556
21,469,558
21,471,560
21,473,562
21,475,564
21,477,566
21,479,569
21,481,571
21,483,574
21,485,577
21,487,579
21,489,582
21,491,585
21,493,589
21,495,592
21,497,595
21,499,599
21,501,602
21,503,606
21,505,609
21,507,613
21,509,616
21,511,620
21,513,623
21,515,626
21,517,629
21,519,631
21,521,634
21,523,637
21,525,639
21,527,641
21,529,644
21,531,646
21,533,649
21,535,651
21,537,654
21,539,657
21,541,660
21,543,663
21,545,666
21,547,669
21,549,673
21,551,676
21,553,679
21,555,683
21,557,686
21,559,689
21,561,692
21,563,695
21,565,698
21,567,700
21,569,703
21,571,705
21,573,707
21,575,709
21,577,711
21,579,712
21,581,714
21,583,716
21,585,717
21,587,719
21,589,721
21,591,723
21,593,724
21,595,726
21,597,728
21,599,730
21,601,732
21,603,734
21,605,736
21,607,738
21,609,740
21,611,742
21,613,744
21,615,746
21,617,749
21,619,751
21,621,754
21,623,756
21,625,759
21,627,761
21,629,764
21,631,767
21,633,769
21,635,772
21,637,775
21,639,777
21,641,779
21,643,781
21,645,783
21,647,785
21,649,787
21,651,789
21,653,790
21,655,791
21,657,793
21,659,794
21,661,795
21,663,796
21,665,797
21,667,798
21,669,799
21,671,800
21,673,801
21,675,802
21,677,804
21,679,805
21,681,806
21,683,808
21,685,809
21,687,811
21,689,813
21,691,815
21,693,816
21,695,818
21,697,820
21,699,822
21,701,824
21,703,826
21,705,829
21,707,831
21,709,833
21,711,835
21,713,838
21,715,840
21,717,842
21,719,845
21,721,848
21,723,851
21,725,854
21,727,857
21,729,860
21,731,863
21,733,866
21,735,869
21,737,872
21,739,875
21,741,877
21,743,880
21,745,882
21,747,884
21,749,886
21,751,888
21,753,891
21,755,893
21,757,895
21,759,897
21,761,899
21,763,901
21,765,903
21,767,906
21,769,908
21,771,910
21,773,913
21,775,915
21,777,918
21,779,920
21,781,923
21,783,926
21,785,929
21,787,931
21,789,935
21,791,938
21,793,941
21,795,944
21,797,947
21,799,950
21,801,953
21,803,956
21,805,959
21,807,962
21,809,965
21,811,968
21,813,971
21,815,974
21,817,976
21,819,979
21,821,982
21,823,984
21,825,987
21,827,990
21,829,992
21,831,995
21,833,998
21,835,1000
21,837,1003
21,839,1006
21,841,1009
21,843,1012
21,845,1015
21,847,1018
21,849,1021
21,851,1025
21,853,1028
21,855,1031
21,857,1034
21,859,1037
21,861,1040
21,863,1043
21,865,1045
21,867,1048
21,869,1051
