pwm,t_ms,x
-181,0,0
-181,1,0
-181,3,-2
-181,5,-11
-181,7,-32
-181,9,-60
-181,11,-93
-181,13,-132
-181,15,-175
-181,17,-224
-181,19,-277
-181,21,-332
-181,23,-391
-181,25,-454
-181,27,-519
-181,29,-585
-181,31,-655
-181,33,-727
-181,35,-800
-181,37,-875
-181,39,-950
-181,41,-1028
-181,43,-1106
-181,45,-1183
-181,47,-1263
-181,49,-1343
-181,51,-1423
-181,53,-1503
-181,55,-1586
-181,57,-1669
-181,59,-1751
-181,61,-1835
-181,63,-1919
-181,65,-2003
-181,67,-2087
-181,69,-2172
-181,71,-2256
-181,73,-2341
-181,75,-2425
-181,77,-2510
-181,79,-2595
-181,81,-2680
-181,83,-2766
-181,85,-2852
-181,87,-2938
-181,89,-3024
-181,91,-3110
-181,93,-3197
-181,95,-3283
-181,97,-3369
-181,99,-3455
-181,101,-3541
-181,103,-3627
-181,105,-3714
-181,107,-3801
-181,109,-3889
-181,111,-3976
-181,113,-4063
-181,115,-4150
-181,117,-4238
-181,119,-4324
-181,121,-4411
-181,123,-4498
-181,125,-4584
-181,127,-4671
-181,129,-4758
-181,131,-4845
-181,133,-4933
-181,135,-5020
-181,137,-5107
-181,139,-5194
-181,141,-5281
-181,143,-5367
-181,145,-5454
-181,147,-5540
-181,149,-5626
-181,151,-5713
-181,153,-5800
-181,155,-5887
-181,157,-5974
-181,159,-6061
-181,161,-6148
-181,163,-6235
-181,165,-6322
-181,167,-6409
-181,169,-6496
-181,171,-6582
-181,173,-6668
-181,175,-6755
-181,177,-6843
-181,179,-6930
-181,181,-7018
-181,183,-7106
-181,185,-7193
-181,187,-7280
-181,189,-7367
-181,191,-7454
-181,193,-7540
-181,195,-7626
-181,197,-7713
-181,199,-7801
-181,201,-7888
-181,203,-7975
-181,205,-8063
-181,207,-8150
-181,209,-8237
-181,211,-8325
-181,213,-8412
-181,215,-8499
-181,217,-8586
-181,219,-8673
-181,221,-8760
-181,223,-8846
-181,225,-8934
-181,227,-9023
-181,229,-9110
-181,231,-9197
-181,233,-9285
-181,235,-9372
-181,237,-9459
-181,239,-9546
-181,241,-9632
-181,243,-9719
-181,245,-9806
-181,247,-9893
-181,249,-9981
-181,251,-10069
-181,253,-10156
-181,255,-10243
-181,257,-10331
-181,259,-10418
-181,261,-10505
-181,263,-10592
-181,265,-10679
-181,267,-10766
-181,269,-10853
-181,271,-10941
-181,273,-11029
-181,275,-11117
-181,277,-11204
-181,279,-11292
-181,281,-11379
-181,283,-11466
-181,285,-11553
-181,287,-11639
-181,289,-11726
-181,291,-11812
-181,293,-11899
-181,295,-11987
-181,297,-12074
-181,299,-12162
-181,301,-12249
-181,303,-12336
-181,305,-12423
-181,307,-12510
-181,309,-12596
-181,311,-12683
-181,313,-12770
-181,315,-12857
-181,317,-12944
-181,319,-13032
-181,321,-13120
-181,323,-13207
-181,325,-13295
-181,327,-13382
-181,329,-13469
-181,331,-13556
-181,333,-13642
-181,335,-13729
-181,337,-13815
-181,339,-13902
-181,341,-13990
-181,343,-14077
-181,345,-14165
-181,347,-14253
-181,349,-14340
-181,351,-14427
-181,353,-14515
-181,355,-14602
-181,357,-14689
-181,359,-14775
-181,361,-14863
-181,363,-14950
-181,365,-15037
-181,367,-15125
-181,369,-15213
-181,371,-15300
-181,373,-15388
-181,375,-15475
-181,377,-15561
-181,379,-15648
-181,381,-15735
-181,383,-15821
-181,385,-15908
-181,387,-15996
-181,389,-16083
-181,391,-16171
-181,393,-16259
-181,395,-16346
-181,397,-16434
-181,399,-16521
-181,401,-16608
-181,403,-16695
-181,405,-16781
-181,407,-16868
-181,409,-16955
-181,411,-17042
-181,413,-17130
-181,415,-17218
-181,417,-17305
-181,419,-17392
-181,421,-17479
-181,423,-17566
-181,425,-17653
-181,427,-17740
-181,429,-17826
-181,431,-17913
-181,433,-18000
