pwm,t_ms,x
-80,0,0
-80,1,0
-80,3,-1
-80,5,-5
-80,7,-15
-80,9,-26
-80,11,-39
-80,13,-54
-80,15,-72
-80,17,-91
-80,19,-111
-80,21,-132
-80,23,-155
-80,25,-178
-80,27,-203
-80,29,-228
-80,31,-254
-80,33,-280
-80,35,-307
-80,37,-335
-80,39,-363
-80,41,-391
-80,43,-420
-80,45,-448
-80,47,-478
-80,49,-508
-80,51,-538
-80,53,-569
-80,55,-600
-80,57,-631
-80,59,-663
-80,61,-694
-80,63,-726
-80,65,-758
-80,67,-791
-80,69,-823
-80,71,-857
-80,73,-890
-80,75,-922
-80,77,-956
-80,79,-989
-80,81,-1022
-80,83,-1056
-80,85,-1089
-80,87,-1122
-80,89,-1155
-80,91,-1188
-80,93,-1221
-80,95,-1254
-80,97,-1286
-80,99,-1319
-80,101,-1352
-80,103,-1384
-80,105,-1417
-80,107,-1449
-80,109,-1482
-80,111,-1515
-80,113,-1548
-80,115,-1581
-80,117,-1614
-80,119,-1647
-80,121,-1680
-80,123,-1713
-80,125,-1746
-80,127,-1780
-80,129,-1814
-80,131,-1846
-80,133,-1881
-80,135,-1915
-80,137,-1948
-80,139,-1982
-80,141,-2016
-80,143,-2050
-80,145,-2084
-80,147,-2117
-80,149,-2151
-80,151,-2184
-80,153,-2217
-80,155,-2250
-80,157,-2283
-80,159,-2316
-80,161,-2349
-80,163,-2382
-80,165,-2415
-80,167,-2447
-80,169,-2480
-80,171,-2513
-80,173,-2546
-80,175,-2579
-80,177,-2612
-80,179,-2645
-80,181,-2678
-80,183,-2711
-80,185,-2744
-80,187,-2778
-80,189,-2811
-80,191,-2845
-80,193,-2879
-80,195,-2914
-80,197,-2947
-80,199,-2981
-80,201,-3015
-80,203,-3050
-80,205,-3084
-80,207,-3117
-80,209,-3151
-80,211,-3185
-80,213,-3218
-80,215,-3251
-80,217,-3285
-80,219,-3318
-80,221,-3351
-80,223,-3384
-80,225,-3418
-80,227,-3451
-80,229,-3484
-80,231,-3517
-80,233,-3550
-80,235,-3584
-80,237,-3617
-80,239,-3650
-80,241,-3684
-80,243,-3717
-80,245,-3751
-80,247,-3785
-80,249,-3818
-80,251,-3853
-80,253,-3886
-80,255,-3921
-80,257,-3956
-80,259,-3989
-80,261,-4024
-80,263,-4058
-80,265,-4092
-80,267,-4126
-80,269,-4161
-80,271,-4194
-80,273,-4227
-80,275,-4260
-80,277,-4294
-80,279,-4327
-80,281,-4359
-80,283,-4393
-80,285,-4425
-80,287,-4458
-80,289,-4491
-80,291,-4523
-80,293,-4556
-80,295,-4589
-80,297,-4622
-80,299,-4655
-80,301,-4688
-80,303,-4721
-80,305,-4755
-80,307,-4788
-80,309,-4821
-80,311,-4855
-80,313,-4889
-80,315,-4922
-80,317,-4957
-80,319,-4991
-80,321,-5025
-80,323,-5059
-80,325,-5093
-80,327,-5127
-80,329,-5161
-80,331,-5195
-80,333,-5229
-80,335,-5262
-80,337,-5295
-80,339,-5329
-80,341,-5362
-80,343,-5395
-80,345,-5428
-80,347,-5461
-80,349,-5494
-80,351,-5526
-80,353,-5559
-80,355,-5592
-80,357,-5625
-80,359,-5658
-80,361,-5692
-80,363,-5725
-80,365,-5758
-80,367,-5791
-80,369,-5825
-80,371,-5858
-80,373,-5892
-80,375,-5925
-80,377,-5959
-80,379,-5994
-80,381,-6027
-80,383,-6062
-80,385,-6096
-80,387,-6130
-80,389,-6164
-80,391,-6198
-80,393,-6232
-80,395,-6266
-80,397,-6299
-80,399,-6332
-80,401,-6365
-80,403,-6398
-80,405,-6431
-80,407,-6464
-80,409,-6496
-80,411,-6529
-80,413,-6562
-80,415,-6594
-80,417,-6627
-80,419,-6659
-80,421,-6692
-80,423,-6725
-80,425,-6758
-80,427,-6791
-80,429,-6824
-80,431,-6857
-80,433,-6890
-80,435,-6924
-80,437,-6957
-80,439,-6990
-80,441,-7025
-80,443,-7058
-80,445,-7091
-80,447,-7125
-80,449,-7159
-80,451,-7193
-80,453,-7226
-80,455,-7260
-80,457,-7293
-80,459,-7326
-80,461,-7359
-80,463,-7392
-80,465,-7424
-80,467,-7457
-80,469,-7490
-80,471,-7522
-80,473,-7555
-80,475,-7588
-80,477,-7620
-80,479,-7654
-80,481,-7687
-80,483,-7720
-80,485,-7753
-80,487,-7787
-80,489,-7820
-80,491,-7854
-80,493,-7887
-80,495,-7921
-80,497,-7955
-80,499,-7988
-80,501,-8023
-80,503,-8057
-80,505,-8091
-80,507,-8125
-80,509,-8159
-80,511,-8193
-80,513,-8227
-80,515,-8261
-80,517,-8295
-80,519,-8328
-80,521,-8361
-80,523,-8395
-80,525,-8428
-80,527,-8461
-80,529,-8493
-80,531,-8527
-80,533,-8560
-80,535,-8592
-80,537,-8625
-80,539,-8658
-80,541,-8691
-80,543,-8725
-80,545,-8758
-80,547,-8791
-80,549,-8825
-80,551,-8858
-80,553,-8892
-80,555,-8926
-80,557,-8960
-80,559,-8994
-80,561,-9028
-80,563,-9063
-80,565,-9097
-80,567,-9131
-80,569,-9166
-80,571,-9200
-80,573,-9235
-80,575,-9269
-80,577,-9303
-80,579,-9337
-80,581,-9370
-80,583,-9404
-80,585,-9437
-80,587,-9470
-80,589,-9503
-80,591,-9536
-80,593,-9570
-80,595,-9603
-80,597,-9635
-80,599,-9668
-80,601,-9702
-80,603,-9735
-80,605,-9768
-80,607,-9802
-80,609,-9835
-80,611,-9869
-80,613,-9902
-80,615,-9936
-80,617,-9970
