pwm,t_ms,x
154,0,0
154,1,0
154,3,1
154,5,10
154,7,29
154,9,54
154,11,81
154,13,113
154,15,152
154,17,195
154,19,239
154,21,286
154,23,336
154,25,390
154,27,444
154,29,500
154,31,558
154,33,620
154,35,681
154,37,743
154,39,807
154,41,872
154,43,938
154,45,1003
154,47,1069
154,49,1137
154,51,1205
154,53,1272
154,55,1340
154,57,1408
154,59,1478
154,61,1547
154,63,1616
154,65,1686
154,67,1757
154,69,1827
154,71,1897
154,73,1968
154,75,2039
154,77,2109
154,79,2180
154,81,2251
154,83,2321
154,85,2392
154,87,2463
154,89,2534
154,91,2606
154,93,2678
154,95,2750
154,97,2822
154,99,2893
154,101,2966
154,103,3037
154,105,3109
154,107,3181
154,109,3253
154,111,3324
154,113,3395
154,115,3467
154,117,3539
154,119,3611
154,121,3683
154,123,3755
154,125,3827
154,127,3899
154,129,3971
154,131,4044
154,133,4116
154,135,4188
154,137,4260
154,139,4332
154,141,4403
154,143,4475
154,145,4547
154,147,4619
154,149,4691
154,151,4764
154,153,4836
154,155,4908
154,157,4980
154,159,5053
154,161,5125
154,163,5196
154,165,5269
154,167,5340
154,169,5411
154,171,5483
154,173,5554
154,175,5626
154,177,5698
154,179,5770
154,181,5842
154,183,5915
154,185,5987
154,187,6059
154,189,6131
154,191,6203
154,193,6275
154,195,6347
154,197,6418
154,199,6490
154,201,6562
154,203,6634
154,205,6706
154,207,6778
154,209,6851
154,211,6923
154,213,6995
154,215,7067
154,217,7139
154,219,7211
154,221,7283
154,223,7355
154,225,7427
154,227,7498
154,229,7570
154,231,7642
154,233,7714
154,235,7786
154,237,7858
154,239,7930
154,241,8003
154,243,8075
154,245,8147
154,247,8219
154,249,8291
154,251,8363
154,253,8434
154,255,8506
154,257,8578
154,259,8649
154,261,8721
154,263,8793
154,265,8866
154,267,8937
154,269,9009
154,271,9082
154,273,9154
154,275,9225
154,277,9297
154,279,9369
154,281,9440
154,283,9511
154,285,9583
154,287,9654
154,289,9726
154,291,9798
154,293,9870
154,295,9942
154,297,10014
154,299,10087
154,301,10159
154,303,10230
154,305,10302
154,307,10375
154,309,10447
154,311,10518
154,313,10590
154,315,10662
154,317,10734
154,319,10806
154,321,10879
154,323,10951
154,325,11023
154,327,11095
154,329,11168
154,331,11240
154,333,11312
154,335,11384
154,337,11457
154,339,11528
154,341,11599
154,343,11672
154,345,11743
154,347,11815
154,349,11888
154,351,11960
154,353,12032
154,355,12104
154,357,12177
154,359,12248
154,361,12320
154,363,12393
154,365,12465
154,367,12536
154,369,12608
154,371,12680
154,373,12751
154,375,12823
154,377,12896
154,379,12968
