pwm,t_ms,x
-53,0,0
-53,1,0
-53,3,0
-53,5,-3
-53,7,-8
-53,9,-15
-53,11,-22
-53,13,-30
-53,15,-40
-53,17,-51
-53,19,-62
-53,21,-74
-53,23,-88
-53,25,-101
-53,27,-114
-53,29,-128
-53,31,-143
-53,33,-157
-53,35,-172
-53,37,-188
-53,39,-204
-53,41,-220
-53,43,-236
-53,45,-253
-53,47,-269
-53,49,-285
-53,51,-302
-53,53,-319
-53,55,-335
-53,57,-352
-53,59,-369
-53,61,-386
-53,63,-403
-53,65,-420
-53,67,-437
-53,69,-455
-53,71,-473
-53,73,-491
-53,75,-509
-53,77,-528
-53,79,-546
-53,81,-565
-53,83,-583
-53,85,-602
-53,87,-621
-53,89,-639
-53,91,-658
-53,93,-676
-53,95,-696
-53,97,-715
-53,99,-734
-53,101,-753
-53,103,-773
-53,105,-793
-53,107,-812
-53,109,-832
-53,111,-852
-53,113,-872
-53,115,-892
-53,117,-911
-53,119,-931
-53,121,-951
-53,123,-971
-53,125,-991
-53,127,-1010
-53,129,-1030
-53,131,-1050
-53,133,-1070
-53,135,-1089
-53,137,-1108
-53,139,-1127
-53,141,-1146
-53,143,-1164
-53,145,-1183
-53,147,-1202
-53,149,-1220
-53,151,-1239
-53,153,-1257
-53,155,-1276
-53,157,-1295
-53,159,-1313
-53,161,-1332
-53,163,-1350
-53,165,-1369
-53,167,-1388
-53,169,-1406
-53,171,-1425
-53,173,-1444
-53,175,-1463
-53,177,-1482
-53,179,-1501
-53,181,-1520
-53,183,-1540
-53,185,-1559
-53,187,-1578
-53,189,-1597
-53,191,-1616
-53,193,-1635
-53,195,-1654
-53,197,-1674
-53,199,-1692
-53,201,-1711
-53,203,-1731
-53,205,-1751
-53,207,-1770
-53,209,-1789
-53,211,-1809
-53,213,-1829
-53,215,-1849
-53,217,-1869
-53,219,-1889
-53,221,-1909
-53,223,-1929
-53,225,-1949
-53,227,-1969
-53,229,-1989
-53,231,-2009
-53,233,-2029
-53,235,-2049
-53,237,-2069
-53,239,-2089
-53,241,-2109
-53,243,-2128
-53,245,-2147
-53,247,-2167
-53,249,-2185
-53,251,-2204
-53,253,-2223
-53,255,-2242
-53,257,-2261
-53,259,-2280
-53,261,-2299
-53,263,-2318
-53,265,-2337
-53,267,-2355
-53,269,-2374
-53,271,-2393
-53,273,-2412
-53,275,-2430
-53,277,-2449
-53,279,-2467
-53,281,-2486
-53,283,-2506
-53,285,-2525
-53,287,-2544
-53,289,-2564
-53,291,-2583
