pwm,t_ms,x
-27,0,0
-27,1,0
-27,3,0
-27,5,-1
-27,7,-4
-27,9,-6
-27,11,-9
-27,13,-13
-27,15,-17
-27,17,-22
-27,19,-27
-27,21,-33
-27,23,-39
-27,25,-44
-27,27,-50
-27,29,-56
-27,31,-62
-27,33,-68
-27,35,-74
-27,37,-81
-27,39,-87
-27,41,-93
-27,43,-100
-27,45,-106
-27,47,-113
-27,49,-119
-27,51,-125
-27,53,-131
-27,55,-137
-27,57,-143
-27,59,-148
-27,61,-154
-27,63,-158
-27,65,-163
-27,67,-168
-27,69,-173
-27,71,-178
-27,73,-183
-27,75,-188
-27,77,-193
-27,79,-198
-27,81,-203
-27,83,-208
-27,85,-212
-27,87,-217
-27,89,-221
-27,91,-226
-27,93,-230
-27,95,-234
-27,97,-239
-27,99,-243
-27,101,-248
-27,103,-252
-27,105,-257
-27,107,-262
-27,109,-267
-27,111,-272
-27,113,-277
-27,115,-282
-27,117,-287
-27,119,-293
-27,121,-298
-27,123,-304
-27,125,-309
-27,127,-314
-27,129,-319
-27,131,-324
-27,133,-329
-27,135,-334
-27,137,-339
-27,139,-344
-27,141,-349
-27,143,-354
-27,145,-359
-27,147,-365
-27,149,-370
-27,151,-375
-27,153,-380
-27,155,-386
-27,157,-391
-27,159,-395
-27,161,-400
-27,163,-405
-27,165,-409
-27,167,-414
-27,169,-419
-27,171,-424
-27,173,-429
-27,175,-434
-27,177,-439
-27,179,-444
-27,181,-449
-27,183,-455
-27,185,-460
-27,187,-466
-27,189,-471
-27,191,-476
-27,193,-481
-27,195,-486
-27,197,-491
-27,199,-496
-27,201,-501
-27,203,-507
-27,205,-512
-27,207,-518
-27,209,-523
-27,211,-529
-27,213,-535
-27,215,-542
-27,217,-548
-27,219,-555
-27,221,-562
-27,223,-568
-27,225,-575
-27,227,-582
-27,229,-588
-27,231,-595
-27,233,-602
-27,235,-609
-27,237,-616
-27,239,-623
-27,241,-630
-27,243,-637
-27,245,-644
-27,247,-651
-27,249,-657
-27,251,-664
-27,253,-670
-27,255,-675
-27,257,-682
-27,259,-687
-27,261,-693
-27,263,-699
-27,265,-705
-27,267,-711
-27,269,-717
-27,271,-723
-27,273,-728
-27,275,-734
-27,277,-739
-27,279,-744
-27,281,-749
-27,283,-755
-27,285,-760
-27,287,-765
-27,289,-770
-27,291,-776
-27,293,-782
-27,295,-788
-27,297,-794
-27,299,-801
-27,301,-807
-27,303,-814
-27,305,-820
-27,307,-826
-27,309,-833
-27,311,-839
-27,313,-845
-27,315,-852
-27,317,-859
-27,319,-866
-27,321,-873
-27,323,-880
-27,325,-887
-27,327,-895
-27,329,-902
-27,331,-909
-27,333,-916
-27,335,-922
-27,337,-929
-27,339,-936
-27,341,-943
-27,343,-950
-27,345,-957
-27,347,-964
-27,349,-971
-27,351,-978
-27,353,-985
-27,355,-991
-27,357,-998
-27,359,-1004
-27,361,-1011
-27,363,-1018
-27,365,-1024
-27,367,-1031
-27,369,-1037
-27,371,-1044
-27,373,-1051
-27,375,-1058
-27,377,-1066
-27,379,-1073
-27,381,-1080
-27,383,-1087
-27,385,-1094
-27,387,-1101
-27,389,-1108
-27,391,-1116
-27,393,-1123
-27,395,-1130
-27,397,-1137
-27,399,-1144
-27,401,-1151
-27,403,-1158
-27,405,-1165
-27,407,-1171
-27,409,-1177
-27,411,-1183
-27,413,-1189
-27,415,-1194
-27,417,-1200
-27,419,-1206
-27,421,-1212
-27,423,-1218
-27,425,-1224
-27,427,-1229
-27,429,-1234
-27,431,-1240
-27,433,-1245
-27,435,-1250
-27,437,-1255
-27,439,-1260
-27,441,-1265
-27,443,-1270
-27,445,-1276
-27,447,-1281
-27,449,-1287
-27,451,-1292
-27,453,-1298
-27,455,-1304
-27,457,-1310
-27,459,-1316
-27,461,-1322
-27,463,-1328
-27,465,-1333
-27,467,-1339
-27,469,-1345
-27,471,-1351
-27,473,-1357
-27,475,-1363
-27,477,-1369
-27,479,-1375
-27,481,-1381
-27,483,-1387
-27,485,-1394
-27,487,-1400
-27,489,-1406
-27,491,-1412
-27,493,-1418
-27,495,-1424
-27,497,-1430
-27,499,-1436
-27,501,-1441
-27,503,-1447
-27,505,-1452
-27,507,-1458
-27,509,-1464
-27,511,-1470
-27,513,-1475
-27,515,-1481
-27,517,-1487
-27,519,-1493
-27,521,-1498
-27,523,-1504
-27,525,-1509
-27,527,-1515
-27,529,-1520
-27,531,-1526
-27,533,-1532
