pwm,t_ms,x
-223,0,0
-223,1,0
-223,3,-2
-223,5,-13
-223,7,-38
-223,9,-72
-223,11,-112
-223,13,-161
-223,15,-214
-223,17,-273
-223,19,-339
-223,21,-409
-223,23,-481
-223,25,-557
-223,27,-639
-223,29,-725
-223,31,-810
-223,33,-898
-223,35,-991
-223,37,-1085
-223,39,-1178
-223,41,-1273
-223,43,-1371
-223,45,-1470
-223,47,-1568
-223,49,-1668
-223,51,-1770
-223,53,-1873
-223,55,-1975
-223,57,-2079
-223,59,-2183
-223,61,-2287
-223,63,-2392
-223,65,-2497
-223,67,-2602
-223,69,-2708
-223,71,-2814
-223,73,-2920
-223,75,-3027
-223,77,-3134
-223,79,-3241
-223,81,-3349
-223,83,-3457
-223,85,-3564
-223,87,-3672
-223,89,-3780
-223,91,-3887
-223,93,-3997
-223,95,-4106
-223,97,-4215
-223,99,-4324
-223,101,-4432
-223,103,-4541
-223,105,-4650
-223,107,-4759
-223,109,-4868
-223,111,-4978
-223,113,-5088
-223,115,-5198
-223,117,-5306
-223,119,-5414
-223,121,-5523
-223,123,-5632
-223,125,-5741
-223,127,-5850
-223,129,-5960
-223,131,-6070
-223,133,-6180
-223,135,-6289
-223,137,-6399
-223,139,-6508
-223,141,-6617
-223,143,-6726
-223,145,-6835
-223,147,-6943
-223,149,-7053
-223,151,-7164
-223,153,-7274
-223,155,-7383
-223,157,-7493
-223,159,-7602
-223,161,-7711
-223,163,-7819
-223,165,-7929
-223,167,-8039
-223,169,-8150
-223,171,-8260
-223,173,-8369
-223,175,-8479
-223,177,-8589
-223,179,-8698
-223,181,-8808
-223,183,-8918
-223,185,-9028
-223,187,-9140
-223,189,-9250
-223,191,-9360
-223,193,-9470
-223,195,-9579
-223,197,-9687
-223,199,-9797
-223,201,-9906
-223,203,-10017
-223,205,-10128
-223,207,-10238
-223,209,-10346
-223,211,-10456
-223,213,-10566
-223,215,-10676
-223,217,-10786
-223,219,-10895
-223,221,-11005
-223,223,-11114
-223,225,-11225
-223,227,-11335
-223,229,-11445
-223,231,-11555
-223,233,-11665
-223,235,-11774
-223,237,-11883
-223,239,-11991
-223,241,-12102
-223,243,-12212
-223,245,-12322
-223,247,-12431
-223,249,-12541
-223,251,-12651
-223,253,-12760
-223,255,-12870
-223,257,-12979
-223,259,-13090
-223,261,-13201
-223,263,-13311
-223,265,-13421
-223,267,-13531
-223,269,-13640
-223,271,-13750
-223,273,-13859
-223,275,-13969
-223,277,-14079
-223,279,-14190
-223,281,-14301
-223,283,-14410
-223,285,-14518
-223,287,-14628
-223,289,-14738
-223,291,-14848
-223,293,-14957
-223,295,-15067
-223,297,-15178
-223,299,-15289
-223,301,-15399
-223,303,-15509
-223,305,-15618
-223,307,-15728
-223,309,-15838
-223,311,-15947
-223,313,-16057
-223,315,-16167
-223,317,-16278
-223,319,-16389
-223,321,-16498
-223,323,-16608
-223,325,-16718
-223,327,-16827
-223,329,-16937
-223,331,-17046
-223,333,-17156
-223,335,-17267
-223,337,-17377
-223,339,-17487
-223,341,-17597
-223,343,-17706
-223,345,-17816
-223,347,-17926
