pwm,t_ms,x
32,0,0
32,1,0
32,3,0
32,5,2
32,7,5
32,9,8
32,11,12
32,13,17
32,15,23
32,17,29
32,19,35
32,21,41
32,23,48
32,25,56
32,27,63
32,29,69
32,31,77
32,33,84
32,35,92
32,37,99
32,39,108
32,41,116
32,43,124
32,45,133
32,47,142
32,49,150
32,51,158
32,53,166
32,55,174
32,57,183
32,59,191
32,61,199
32,63,207
32,65,216
32,67,224
32,69,232
32,71,240
32,73,247
32,75,255
32,77,262
32,79,269
32,81,277
32,83,284
32,85,291
32,87,299
32,89,306
32,91,313
32,93,320
32,95,327
32,97,334
32,99,340
32,101,347
32,103,354
32,105,360
32,107,367
32,109,374
32,111,381
32,113,388
32,115,395
32,117,402
32,119,409
32,121,416
32,123,423
32,125,430
32,127,437
32,129,444
32,131,451
32,133,459
32,135,466
32,137,474
32,139,481
32,141,489
32,143,496
32,145,504
32,147,511
32,149,519
32,151,527
32,153,534
32,155,542
32,157,550
32,159,558
32,161,566
32,163,574
32,165,582
32,167,590
32,169,598
32,171,607
32,173,615
32,175,624
32,177,632
32,179,641
32,181,650
32,183,659
32,185,668
32,187,677
32,189,686
32,191,695
32,193,704
32,195,713
32,197,722
32,199,732
32,201,741
32,203,750
32,205,760
32,207,769
32,209,777
32,211,786
32,213,794
32,215,803
32,217,812
32,219,821
32,221,829
32,223,838
32,225,846
32,227,854
32,229,862
32,231,871
32,233,879
32,235,888
32,237,896
32,239,905
32,241,914
32,243,922
32,245,930
32,247,939
32,249,947
32,251,955
32,253,964
32,255,973
32,257,982
32,259,990
32,261,999
32,263,1008
32,265,1017
32,267,1025
32,269,1034
32,271,1042
32,273,1051
32,275,1060
32,277,1068
32,279,1077
32,281,1086
32,283,1094
32,285,1102
32,287,1110
32,289,1119
32,291,1127
32,293,1136
32,295,1144
32,297,1153
32,299,1162
32,301,1171
32,303,1180
32,305,1188
32,307,1197
32,309,1206
32,311,1214
32,313,1223
32,315,1231
32,317,1240
32,319,1249
32,321,1257
32,323,1266
32,325,1274
32,327,1282
32,329,1290
32,331,1298
32,333,1306
32,335,1314
32,337,1322
32,339,1330
32,341,1338
32,343,1346
32,345,1353
32,347,1360
32,349,1368
32,351,1376
32,353,1383
32,355,1390
32,357,1398
32,359,1406
32,361,1414
32,363,1422
32,365,1430
32,367,1437
32,369,1445
32,371,1453
32,373,1460
32,375,1468
32,377,1476
32,379,1485
32,381,1493
32,383,1501
32,385,1509
32,387,1518
32,389,1526
32,391,1534
32,393,1542
32,395,1550
32,397,1558
32,399,1566
32,401,1574
32,403,1583
32,405,1591
32,407,1599
32,409,1607
32,411,1615
32,413,1624
32,415,1632
32,417,1641
32,419,1649
32,421,1659
32,423,1668
32,425,1677
32,427,1686
32,429,1695
32,431,1704
32,433,1714
32,435,1723
32,437,1733
32,439,1742
32,441,1752
32,443,1762
32,445,1771
32,447,1781
32,449,1790
32,451,1799
32,453,1808
32,455,1817
32,457,1826
32,459,1835
32,461,1844
32,463,1853
32,465,1861
32,467,1870
32,469,1879
32,471,1887
32,473,1896
32,475,1905
32,477,1913
32,479,1922
32,481,1932
32,483,1941
32,485,1949
32,487,1958
32,489,1966
32,491,1975
32,493,1984
32,495,1993
32,497,2002
32,499,2011
32,501,2020
32,503,2029
32,505,2038
32,507,2047
32,509,2057
32,511,2066
32,513,2075
32,515,2084
32,517,2093
32,519,2102
32,521,2111
32,523,2120
32,525,2128
32,527,2137
32,529,2146
32,531,2155
32,533,2164
32,535,2173
32,537,2182
32,539,2191
32,541,2200
32,543,2209
32,545,2218
32,547,2227
32,549,2235
32,551,2244
32,553,2253
32,555,2262
32,557,2270
32,559,2279
32,561,2288
32,563,2296
32,565,2304
32,567,2312
32,569,2320
32,571,2328
32,573,2336
32,575,2344
32,577,2352
32,579,2360
32,581,2367
32,583,2375
32,585,2382
32,587,2389
32,589,2397
32,591,2404
32,593,2411
32,595,2418
32,597,2426
32,599,2434
32,601,2442
32,603,2449
32,605,2456
32,607,2464
32,609,2471
32,611,2479
32,613,2487
32,615,2494
32,617,2502
32,619,2511
32,621,2519
32,623,2526
32,625,2535
32,627,2543
32,629,2550
32,631,2558
32,633,2566
32,635,2574
32,637,2582
32,639,2590
32,641,2598
32,643,2607
32,645,2615
32,647,2623
32,649,2631
32,651,2639
32,653,2647
32,655,2655
32,657,2664
32,659,2672
32,661,2681
32,663,2690
32,665,2699
32,667,2708
32,669,2717
32,671,2726
32,673,2734
32,675,2743
32,677,2752
32,679,2761
32,681,2770
32,683,2779
32,685,2788
32,687,2797
32,689,2806
32,691,2814
32,693,2823
32,695,2831
32,697,2839
32,699,2848
32,701,2857
32,703,2866
32,705,2874
32,707,2882
32,709,2890
32,711,2898
32,713,2906
32,715,2915
32,717,2923
32,719,2931
32,721,2940
32,723,2948
32,725,2957
32,727,2966
32,729,2973
32,731,2982
32,733,2990
32,735,2998
32,737,3006
32,739,3014
32,741,3023
32,743,3031
32,745,3040
32,747,3048
32,749,3056
32,751,3065
32,753,3073
32,755,3082
32,757,3090
32,759,3099
32,761,3107
32,763,3116
32,765,3125
32,767,3133
32,769,3141
32,771,3149
32,773,3157
32,775,3166
32,777,3174
32,779,3183
32,781,3191
32,783,3200
32,785,3209
32,787,3218
32,789,3227
32,791,3235
32,793,3244
32,795,3252
32,797,3261
32,799,3269
32,801,3278
32,803,3287
32,805,3295
32,807,3304
32,809,3312
32,811,3321
32,813,3329
32,815,3337
32,817,3345
32,819,3353
32,821,3361
32,823,3369
32,825,3377
32,827,3385
32,829,3392
32,831,3400
32,833,3407
32,835,3414
32,837,3422
32,839,3429
32,841,3437
32,843,3444
32,845,3452
32,847,3461
32,849,3469
32,851,3476
32,853,3484
32,855,3492
32,857,3499
32,859,3507
32,861,3515
32,863,3523
32,865,3531
32,867,3540
32,869,3548
32,871,3556
32,873,3564
32,875,3572
32,877,3580
32,879,3588
32,881,3596
32,883,3603
32,885,3611
32,887,3619
32,889,3627
32,891,3635
32,893,3643
32,895,3651
32,897,3658
32,899,3666
32,901,3674
32,903,3682
32,905,3690
32,907,3699
32,909,3708
32,911,3717
32,913,3726
32,915,3734
32,917,3743
32,919,3751
32,921,3760
32,923,3769
32,925,3777
32,927,3787
32,929,3796
32,931,3805
32,933,3814
32,935,3823
32,937,3832
32,939,3841
32,941,3849
32,943,3857
32,945,3865
32,947,3874
32,949,3883
32,951,3891
32,953,3899
32,955,3907
32,957,3914
32,959,3922
32,961,3930
32,963,3938
32,965,3947
32,967,3955
32,969,3963
32,971,3971
32,973,3980
32,975,3988
32,977,3995
32,979,4003
32,981,4011
32,983,4019
32,985,4026
32,987,4034
32,989,4043
32,991,4052
32,993,4060
32,995,4069
32,997,4078
32,999,4086
32,1001,4095
32,1003,4103
32,1005,4112
32,1007,4120
32,1009,4129
32,1011,4137
32,1013,4146
32,1015,4155
32,1017,4163
32,1019,4171
32,1021,4179
32,1023,4188
32,1025,4196
32,1027,4205
32,1029,4213
32,1031,4222
32,1033,4231
32,1035,4240
32,1037,4249
32,1039,4257
32,1041,4265
32,1043,4273
32,1045,4282
32,1047,4290
32,1049,4298
32,1051,4307
32,1053,4315
32,1055,4323
32,1057,4332
32,1059,4339
32,1061,4347
32,1063,4355
32,1065,4363
32,1067,4371
32,1069,4379
32,1071,4387
32,1073,4395
32,1075,4403
32,1077,4411
32,1079,4418
32,1081,4426
32,1083,4433
32,1085,4440
32,1087,4447
32,1089,4455
32,1091,4462
32,1093,4469
32,1095,4477
32,1097,4485
32,1099,4493
32,1101,4500
32,1103,4507
32,1105,4515
32,1107,4522
32,1109,4530
32,1111,4537
32,1113,4545
32,1115,4553
32,1117,4561
32,1119,4569
32,1121,4577
32,1123,4585
32,1125,4593
32,1127,4600
32,1129,4608
32,1131,4616
32,1133,4624
32,1135,4632
32,1137,4640
32,1139,4648
32,1141,4656
32,1143,4664
32,1145,4672
32,1147,4680
32,1149,4688
32,1151,4696
32,1153,4704
32,1155,4712
32,1157,4721
32,1159,4730
32,1161,4739
32,1163,4748
32,1165,4757
32,1167,4766
32,1169,4775
32,1171,4784
32,1173,4793
32,1175,4802
32,1177,4811
32,1179,4821
32,1181,4830
32,1183,4840
32,1185,4849
32,1187,4858
32,1189,4867
32,1191,4876
32,1193,4884
32,1195,4893
32,1197,4902
32,1199,4911
32,1201,4920
32,1203,4928
32,1205,4937
32,1207,4945
32,1209,4953
32,1211,4962
32,1213,4970
32,1215,4979
32,1217,4987
32,1219,4996
32,1221,5005
32,1223,5014
32,1225,5022
32,1227,5030
32,1229,5039
32,1231,5047
32,1233,5056
32,1235,5064
32,1237,5073
32,1239,5082
32,1241,5091
32,1243,5100
32,1245,5109
32,1247,5117
32,1249,5126
32,1251,5135
32,1253,5144
32,1255,5153
32,1257,5162
32,1259,5171
32,1261,5180
32,1263,5188
32,1265,5197
32,1267,5205
32,1269,5214
32,1271,5223
32,1273,5231
32,1275,5240
32,1277,5250
32,1279,5259
32,1281,5268
32,1283,5277
32,1285,5286
32,1287,5295
32,1289,5304
32,1291,5313
32,1293,5322
32,1295,5331
32,1297,5340
32,1299,5349
32,1301,5357
32,1303,5366
32,1305,5374
32,1307,5383
32,1309,5391
32,1311,5399
32,1313,5407
32,1315,5416
32,1317,5424
32,1319,5432
32,1321,5440
32,1323,5448
32,1325,5455
32,1327,5463
32,1329,5470
32,1331,5478
32,1333,5486
32,1335,5493
32,1337,5501
32,1339,5509
32,1341,5517
32,1343,5525
32,1345,5533
32,1347,5541
32,1349,5549
32,1351,5556
32,1353,5564
32,1355,5573
32,1357,5581
32,1359,5589
32,1361,5598
32,1363,5606
32,1365,5615
32,1367,5623
32,1369,5631
32,1371,5640
32,1373,5648
32,1375,5656
32,1377,5664
32,1379,5673
32,1381,5682
32,1383,5690
32,1385,5698
32,1387,5707
32,1389,5715
32,1391,5724
32,1393,5732
32,1395,5741
32,1397,5750
32,1399,5759
32,1401,5769
32,1403,5778
32,1405,5787
32,1407,5797
32,1409,5806
32,1411,5815
32,1413,5824
32,1415,5834
32,1417,5843
32,1419,5853
32,1421,5862
32,1423,5871
32,1425,5880
32,1427,5890
32,1429,5898
32,1431,5907
32,1433,5916
32,1435,5925
32,1437,5934
32,1439,5943
32,1441,5952
32,1443,5960
32,1445,5968
32,1447,5977
32,1449,5985
32,1451,5994
32,1453,6003
32,1455,6011
32,1457,6020
32,1459,6029
32,1461,6038
32,1463,6046
32,1465,6055
32,1467,6063
32,1469,6072
32,1471,6080
32,1473,6089
32,1475,6098
32,1477,6107
32,1479,6116
32,1481,6125
32,1483,6134
32,1485,6142
32,1487,6151
32,1489,6160
32,1491,6168
32,1493,6177
32,1495,6186
32,1497,6194
32,1499,6203
32,1501,6211
32,1503,6219
32,1505,6227
32,1507,6236
32,1509,6244
32,1511,6252
32,1513,6261
32,1515,6269
32,1517,6278
32,1519,6287
32,1521,6296
32,1523,6304
32,1525,6312
32,1527,6320
32,1529,6329
32,1531,6337
32,1533,6346
32,1535,6354
32,1537,6363
32,1539,6371
32,1541,6379
32,1543,6388
32,1545,6395
32,1547,6403
32,1549,6411
32,1551,6419
32,1553,6427
32,1555,6435
32,1557,6443
32,1559,6451
32,1561,6458
32,1563,6466
32,1565,6473
32,1567,6480
32,1569,6488
32,1571,6495
32,1573,6502
32,1575,6510
32,1577,6517
32,1579,6525
32,1581,6533
32,1583,6541
32,1585,6548
32,1587,6556
32,1589,6563
32,1591,6570
32,1593,6578
32,1595,6585
32,1597,6593
32,1599,6601
32,1601,6609
32,1603,6617
32,1605,6625
32,1607,6633
32,1609,6641
32,1611,6649
32,1613,6656
32,1615,6664
32,1617,6671
32,1619,6679
32,1621,6687
32,1623,6695
32,1625,6703
32,1627,6710
32,1629,6718
32,1631,6725
32,1633,6733
32,1635,6740
32,1637,6748
32,1639,6756
32,1641,6764
32,1643,6773
32,1645,6781
32,1647,6790
32,1649,6799
32,1651,6808
32,1653,6816
32,1655,6825
32,1657,6833
32,1659,6842
32,1661,6851
32,1663,6860
32,1665,6869
32,1667,6878
32,1669,6887
32,1671,6896
32,1673,6905
32,1675,6914
32,1677,6923
32,1679,6931
32,1681,6940
32,1683,6949
32,1685,6957
32,1687,6966
32,1689,6974
32,1691,6983
32,1693,6991
32,1695,6999
32,1697,7007
32,1699,7015
32,1701,7024
32,1703,7032
32,1705,7041
32,1707,7049
32,1709,7058
32,1711,7066
32,1713,7074
32,1715,7082
32,1717,7091
32,1719,7099
32,1721,7107
32,1723,7116
32,1725,7125
32,1727,7134
32,1729,7142
32,1731,7151
32,1733,7160
32,1735,7169
32,1737,7177
32,1739,7186
32,1741,7195
32,1743,7204
32,1745,7213
32,1747,7222
32,1749,7230
32,1751,7239
32,1753,7247
32,1755,7256
32,1757,7264
32,1759,7273
32,1761,7282
32,1763,7291
32,1765,7300
32,1767,7309
32,1769,7319
32,1771,7327
32,1773,7336
32,1775,7345
32,1777,7354
32,1779,7363
32,1781,7372
32,1783,7381
32,1785,7390
32,1787,7399
32,1789,7407
32,1791,7416
32,1793,7424
32,1795,7432
32,1797,7440
32,1799,7448
32,1801,7456
32,1803,7465
32,1805,7473
32,1807,7481
32,1809,7489
32,1811,7496
32,1813,7504
32,1815,7511
32,1817,7519
32,1819,7526
32,1821,7534
32,1823,7542
32,1825,7549
32,1827,7558
32,1829,7566
32,1831,7574
32,1833,7582
32,1835,7589
32,1837,7597
32,1839,7605
32,1841,7613
32,1843,7621
32,1845,7629
32,1847,7637
32,1849,7645
32,1851,7653
32,1853,7661
32,1855,7669
32,1857,7677
32,1859,7685
32,1861,7692
32,1863,7700
32,1865,7708
32,1867,7716
32,1869,7724
32,1871,7732
32,1873,7740
