pwm,t_ms,x
-21,0,0
-21,1,0
-21,3,0
-21,5,-1
-21,7,-3
-21,9,-5
-21,11,-7
-21,13,-9
-21,15,-12
-21,17,-15
-21,19,-18
-21,21,-21
-21,23,-25
-21,25,-28
-21,27,-31
-21,29,-34
-21,31,-37
-21,33,-40
-21,35,-43
-21,37,-46
-21,39,-49
-21,41,-51
-21,43,-54
-21,45,-56
-21,47,-59
-21,49,-61
-21,51,-63
-21,53,-65
-21,55,-67
-21,57,-70
-21,59,-72
-21,61,-75
-21,63,-77
-21,65,-79
-21,67,-82
-21,69,-84
-21,71,-87
-21,73,-89
-21,75,-92
-21,77,-95
-21,79,-98
-21,81,-101
-21,83,-103
-21,85,-106
-21,87,-109
-21,89,-112
-21,91,-114
-21,93,-117
-21,95,-119
-21,97,-121
-21,99,-123
-21,101,-125
-21,103,-127
-21,105,-128
-21,107,-130
-21,109,-132
-21,111,-134
-21,113,-136
-21,115,-137
-21,117,-139
-21,119,-141
-21,121,-143
-21,123,-145
-21,125,-147
-21,127,-150
-21,129,-152
-21,131,-155
-21,133,-157
-21,135,-160
-21,137,-163
-21,139,-166
-21,141,-169
-21,143,-172
-21,145,-175
-21,147,-178
-21,149,-181
-21,151,-185
-21,153,-189
-21,155,-192
-21,157,-196
-21,159,-200
-21,161,-204
-21,163,-208
-21,165,-211
-21,167,-214
-21,169,-218
-21,171,-221
-21,173,-224
-21,175,-227
-21,177,-230
-21,179,-234
-21,181,-237
-21,183,-240
-21,185,-244
-21,187,-248
-21,189,-252
-21,191,-256
-21,193,-260
-21,195,-265
-21,197,-269
-21,199,-273
-21,201,-278
-21,203,-282
-21,205,-286
-21,207,-290
-21,209,-294
-21,211,-297
-21,213,-300
-21,215,-304
-21,217,-307
-21,219,-310
-21,221,-313
-21,223,-316
-21,225,-319
-21,227,-322
-21,229,-325
-21,231,-328
-21,233,-332
-21,235,-335
-21,237,-338
-21,239,-342
-21,241,-345
-21,243,-348
-21,245,-352
-21,247,-355
-21,249,-359
-21,251,-362
-21,253,-365
-21,255,-368
-21,257,-371
-21,259,-374
-21,261,-377
-21,263,-380
-21,265,-382
-21,267,-385
-21,269,-388
-21,271,-390
-21,273,-393
-21,275,-396
-21,277,-398
-21,279,-401
-21,281,-404
-21,283,-407
-21,285,-410
-21,287,-412
-21,289,-415
-21,291,-418
-21,293,-421
-21,295,-423
-21,297,-426
-21,299,-430
-21,301,-433
-21,303,-436
-21,305,-440
-21,307,-444
-21,309,-448
-21,311,-452
-21,313,-456
-21,315,-461
-21,317,-464
-21,319,-468
-21,321,-472
-21,323,-476
-21,325,-479
-21,327,-483
-21,329,-487
-21,331,-490
-21,333,-494
-21,335,-498
-21,337,-502
-21,339,-506
-21,341,-510
-21,343,-514
-21,345,-518
-21,347,-522
-21,349,-526
-21,351,-531
-21,353,-535
-21,355,-539
-21,357,-543
-21,359,-547
-21,361,-550
-21,363,-554
-21,365,-557
-21,367,-561
-21,369,-564
-21,371,-567
-21,373,-569
-21,375,-572
-21,377,-575
-21,379,-578
-21,381,-580
-21,383,-583
-21,385,-586
-21,387,-589
-21,389,-592
-21,391,-594
-21,393,-597
-21,395,-600
-21,397,-603
-21,399,-606
-21,401,-609
-21,403,-612
-21,405,-616
-21,407,-619
-21,409,-622
-21,411,-624
-21,413,-627
-21,415,-630
-21,417,-632
-21,419,-635
-21,421,-637
-21,423,-639
-21,425,-641
-21,427,-643
-21,429,-646
-21,431,-648
-21,433,-650
-21,435,-652
-21,437,-654
-21,439,-657
-21,441,-659
-21,443,-661
-21,445,-663
-21,447,-666
-21,449,-668
-21,451,-670
-21,453,-673
-21,455,-675
-21,457,-678
-21,459,-680
-21,461,-683
-21,463,-686
-21,465,-689
-21,467,-692
-21,469,-696
-21,471,-699
-21,473,-703
-21,475,-706
-21,477,-710
-21,479,-713
-21,481,-716
-21,483,-720
-21,485,-723
-21,487,-725
-21,489,-728
-21,491,-731
-21,493,-734
-21,495,-737
-21,497,-740
-21,499,-743
-21,501,-746
-21,503,-749
-21,505,-753
-21,507,-756
-21,509,-759
-21,511,-763
-21,513,-766
-21,515,-769
-21,517,-772
-21,519,-776
-21,521,-779
-21,523,-782
-21,525,-785
-21,527,-788
-21,529,-792
-21,531,-795
-21,533,-798
-21,535,-801
-21,537,-804
-21,539,-806
-21,541,-809
-21,543,-811
-21,545,-814
-21,547,-816
-21,549,-818
-21,551,-821
-21,553,-823
-21,555,-825
-21,557,-827
-21,559,-830
-21,561,-832
-21,563,-835
-21,565,-837
-21,567,-840
-21,569,-842
-21,571,-845
-21,573,-847
-21,575,-850
-21,577,-853
-21,579,-856
-21,581,-859
-21,583,-862
-21,585,-866
-21,587,-869
-21,589,-872
-21,591,-876
-21,593,-879
-21,595,-882
-21,597,-885
-21,599,-887
-21,601,-889
-21,603,-892
-21,605,-894
-21,607,-896
-21,609,-898
-21,611,-900
-21,613,-903
-21,615,-905
-21,617,-908
-21,619,-910
-21,621,-913
-21,623,-916
-21,625,-919
-21,627,-921
-21,629,-924
-21,631,-927
-21,633,-930
-21,635,-933
-21,637,-937
-21,639,-940
-21,641,-943
-21,643,-947
-21,645,-950
-21,647,-954
-21,649,-959
-21,651,-963
-21,653,-967
-21,655,-971
-21,657,-976
