pwm,t_ms,x
255,0,0
255,1,0
255,3,2
255,5,13
255,7,39
255,9,81
255,11,130
255,13,183
255,15,242
255,17,311
255,19,389
255,21,470
255,23,554
255,25,642
255,27,737
255,29,837
255,31,937
255,33,1038
255,35,1143
255,37,1252
255,39,1362
255,41,1472
255,43,1583
255,45,1698
255,47,1815
255,49,1932
255,51,2048
255,53,2166
255,55,2286
255,57,2406
255,59,2526
255,61,2645
255,63,2768
255,65,2892
255,67,3014
255,69,3136
255,71,3258
255,73,3383
255,75,3506
255,77,3629
255,79,3753
255,81,3879
255,83,4004
255,85,4128
255,87,4252
255,89,4377
255,91,4503
255,93,4628
255,95,4753
255,97,4880
255,99,5006
255,101,5131
255,103,5256
255,105,5383
255,107,5509
255,109,5635
255,111,5761
255,113,5888
255,115,6015
255,117,6141
255,119,6267
255,121,6394
255,123,6521
255,125,6647
255,127,6773
255,129,6901
255,131,7029
255,133,7155
255,135,7280
255,137,7407
255,139,7534
255,141,7661
255,143,7787
255,145,7915
255,147,8043
255,149,8169
255,151,8295
255,153,8422
255,155,8550
255,157,8676
255,159,8802
255,161,8931
255,163,9059
255,165,9185
255,167,9312
255,169,9439
255,171,9566
255,173,9693
255,175,9819
255,177,9947
255,179,10075
255,181,10202
255,183,10327
255,185,10455
255,187,10582
255,189,10708
255,191,10835
255,193,10962
255,195,11090
255,197,11217
255,199,11343
255,201,11470
255,203,11597
255,205,11724
255,207,11851
255,209,11979
255,211,12106
255,213,12233
255,215,12359
255,217,12487
255,219,12614
255,221,12740
255,223,12867
255,225,12995
255,227,13123
255,229,13249
255,231,13375
255,233,13503
255,235,13630
255,237,13757
255,239,13883
255,241,14011
255,243,14140
255,245,14266
255,247,14391
255,249,14519
255,251,14646
255,253,14773
255,255,14898
255,257,15026
255,259,15155
255,261,15282
255,263,15407
255,265,15535
255,267,15663
255,269,15790
255,271,15916
255,273,16044
255,275,16174
255,277,16300
255,279,16426
255,281,16554
255,283,16682
255,285,16808
255,287,16935
255,289,17063
255,291,17191
255,293,17318
255,295,17443
255,297,17571
255,299,17699
255,301,17825
255,303,17951
