pwm,t_ms,x
-138,0,0
-138,1,0
-138,3,-1
-138,5,-9
-138,7,-24
-138,9,-46
-138,11,-71
-138,13,-100
-138,15,-133
-138,17,-171
-138,19,-211
-138,21,-252
-138,23,-297
-138,25,-345
-138,27,-393
-138,29,-443
-138,31,-495
-138,33,-547
-138,35,-601
-138,37,-655
-138,39,-711
-138,41,-767
-138,43,-823
-138,45,-881
-138,47,-939
-138,49,-997
-138,51,-1056
-138,53,-1116
-138,55,-1175
-138,57,-1236
-138,59,-1297
-138,61,-1359
-138,63,-1421
-138,65,-1483
-138,67,-1546
-138,69,-1608
-138,71,-1670
-138,73,-1733
-138,75,-1795
-138,77,-1857
-138,79,-1919
-138,81,-1982
-138,83,-2045
-138,85,-2108
-138,87,-2170
-138,89,-2234
-138,91,-2298
-138,93,-2362
-138,95,-2425
-138,97,-2489
-138,99,-2553
-138,101,-2617
-138,103,-2680
-138,105,-2744
-138,107,-2808
-138,109,-2871
-138,111,-2934
-138,113,-2997
-138,115,-3061
-138,117,-3125
-138,119,-3188
-138,121,-3252
-138,123,-3317
-138,125,-3381
-138,127,-3445
-138,129,-3509
-138,131,-3574
-138,133,-3638
-138,135,-3701
-138,137,-3765
-138,139,-3829
-138,141,-3892
-138,143,-3955
-138,145,-4018
-138,147,-4082
-138,149,-4146
-138,151,-4209
-138,153,-4273
-138,155,-4337
-138,157,-4401
-138,159,-4465
-138,161,-4529
-138,163,-4594
-138,165,-4659
-138,167,-4722
-138,169,-4786
-138,171,-4850
-138,173,-4913
-138,175,-4977
-138,177,-5040
-138,179,-5103
-138,181,-5167
-138,183,-5230
-138,185,-5294
-138,187,-5359
-138,189,-5423
-138,191,-5488
-138,193,-5551
-138,195,-5616
-138,197,-5681
-138,199,-5744
-138,201,-5808
-138,203,-5872
-138,205,-5936
-138,207,-5999
-138,209,-6062
-138,211,-6125
-138,213,-6189
-138,215,-6252
-138,217,-6316
-138,219,-6380
-138,221,-6444
-138,223,-6509
-138,225,-6572
-138,227,-6636
-138,229,-6701
-138,231,-6764
-138,233,-6827
-138,235,-6891
-138,237,-6954
-138,239,-7017
-138,241,-7080
-138,243,-7144
-138,245,-7208
-138,247,-7271
-138,249,-7334
-138,251,-7399
-138,253,-7463
-138,255,-7528
-138,257,-7592
-138,259,-7656
-138,261,-7721
-138,263,-7784
-138,265,-7848
-138,267,-7912
-138,269,-7976
-138,271,-8039
-138,273,-8102
-138,275,-8166
-138,277,-8230
-138,279,-8294
-138,281,-8358
-138,283,-8422
-138,285,-8487
-138,287,-8552
-138,289,-8616
-138,291,-8681
-138,293,-8746
-138,295,-8809
-138,297,-8873
-138,299,-8937
-138,301,-9001
-138,303,-9065
-138,305,-9128
-138,307,-9192
-138,309,-9256
-138,311,-9320
-138,313,-9384
-138,315,-9448
-138,317,-9513
-138,319,-9578
-138,321,-9642
-138,323,-9706
-138,325,-9771
-138,327,-9834
-138,329,-9898
-138,331,-9961
-138,333,-10025
-138,335,-10089
-138,337,-10152
-138,339,-10215
-138,341,-10279
-138,343,-10343
-138,345,-10407
-138,347,-10471
-138,349,-10536
-138,351,-10601
-138,353,-10665
-138,355,-10729
-138,357,-10794
-138,359,-10858
-138,361,-10921
-138,363,-10985
-138,365,-11049
-138,367,-11112
-138,369,-11175
-138,371,-11238
-138,373,-11302
-138,375,-11366
-138,377,-11429
-138,379,-11493
-138,381,-11558
-138,383,-11623
-138,385,-11686
-138,387,-11750
-138,389,-11815
-138,391,-11879
-138,393,-11943
-138,395,-12006
-138,397,-12070
-138,399,-12134
-138,401,-12197
-138,403,-12260
-138,405,-12324
-138,407,-12388
-138,409,-12452
-138,411,-12516
-138,413,-12580
-138,415,-12646
-138,417,-12710
-138,419,-12774
-138,421,-12839
-138,423,-12903
-138,425,-12967
